id_unico,nome_projeto,status,data_inicio_prevista,data_fim_prevista,data_inicio_real,data_fim_real,data_cadastro,orgao_executor,fonte_recurso,tipo_projeto,valor_total_previsto,ano_inicio_previsto,mes_inicio_previsto,duracao_prevista_dias,is_concluido,is_cancelado,is_em_execucao,faixa_valor
50379.53-54,DL - 304/2024 - CONTRATAÇÃO DE INSTITUIÇÃO PARA EXECUÇÃO DE SERVIÇOS TÉCNICO-ESPECIALIZADOS PARA REALIZAÇÃO DE ATUALIZAÇÕES NO MÉTODO DE DIMENSIONAMENTO DE PAVIMENTOS RÍGIDOS DO DNI,CADASTRADA,2024-12-20,2027-12-05,,,2024-12-20,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,FEDERAL,RODOVIA,44463443.0,2024.0,2024-12,1080.0,False,False,False,> 10M
42724.53-27,ESCOLA CLASSE CRIXÁ SÃO SEBASTIÃO,CANCELADA,2024-09-02,2028-09-02,,,2024-08-30,SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,FEDERAL,EDUCAÇÃO,12319519.51,2024.0,2024-09,1461.0,False,True,False,> 10M
19970.53-78,REAJUSTE DO CONTRATO 45/2021 - CONTRUÇÃO DO CENTRO DE FORMAÇÃO E APERFEIÇOAMENTO DE PRAÇAS - CEFAP DO CBMDF,CADASTRADA,2021-09-14,2024-08-28,,,2023-02-06,CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL,FEDERAL,SEGURANÇA PÚBLICA,1177429.91,2021.0,2021-09,1079.0,False,False,False,1M - 10M
24797.53-15,IMPLANTAÇÃO DE PASSARELAS NAS ESTRADAS PARQUE DO DF,CADASTRADA,2023-08-30,2028-08-30,,,2023-08-28,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL,FEDERAL,INFRAESTRUTURA URBANA E MOBILIDADE,10800000.0,2023.0,2023-08,1827.0,False,False,False,> 10M
24822.53-70,"OBRA DE CONSTRUÇÃO DA  CABINE DE MEDIÇÃO, LOCALIZADO NO SETOR CENTRAL DO CAMPUS UNIVERSITÁRIO DARCY RIBEIRO, DA UNIVERSIDADE DE BRASÍLIA, EM BRASÍLIA/DF",CADASTRADA,2023-09-14,2024-03-14,,,2023-08-29,FUNDACAO UNIVERSIDADE DE BRASILIA,FEDERAL,ENERGIA; ENERGIA,928139.7,2023.0,2023-09,182.0,False,False,False,100K - 1M
4541.53-44,202111-22-RONALD 1,CADASTRADA,2021-12-10,2021-12-10,,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,FEDERAL,DESENVOLVIMENTO,300000002.0,2021.0,2021-12,0.0,False,False,False,> 10M
4545.53-03,202111-22-RONALD 1,CADASTRADA,2021-12-10,2021-12-10,,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,FEDERAL,DESENVOLVIMENTO,30000006.0,2021.0,2021-12,0.0,False,False,False,> 10M
4546.53-60,202111-22-RONALD 1,CADASTRADA,2021-12-10,2021-12-10,,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,FEDERAL,DESENVOLVIMENTO,30000007.0,2021.0,2021-12,0.0,False,False,False,> 10M
21324.53-75,REFORMA VIVEIRO AGROECOLOGIA,CADASTRADA,2023-08-01,2023-12-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,700000.0,2023.0,2023-08,152.0,False,False,False,100K - 1M
21327.53-34,REFORMA AGROECOLOGIA,CADASTRADA,2023-09-01,2024-03-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,3300000.0,2023.0,2023-09,212.0,False,False,False,1M - 10M
3819.53-95,COBERTURA DA QUADRA POLIESPORTIVA,EM EXECUÇÃO,2021-09-15,2021-11-01,,,2021-09-10,COMANDO DA MARINHA,FEDERAL,EDUCAÇÃO,250000.0,2021.0,2021-09,47.0,False,False,True,100K - 1M
8421.53-89,REFORMA NO ACESSO DA PISTA DE ATLETISMO,EM EXECUÇÃO,2022-09-30,2022-10-14,,,2022-09-27,COMANDO DA MARINHA,FEDERAL,ESPORTE,17400.0,2022.0,2022-09,14.0,False,False,True,< 100K
12603.53-08,REFORMA DA ARQUIBANCADA E PINTURA DA PISTA DE ATLETISMO,EM EXECUÇÃO,2022-11-17,2022-12-09,,,2022-11-10,COMANDO DA MARINHA,FEDERAL,EDUCAÇÃO,75657.05,2022.0,2022-11,22.0,False,False,True,< 100K
21333.53-86,"CONCLUSÃO DOS MEZANINOS DOS CAMPI CSAM, CSSB E CTAG DO IFB",CADASTRADA,2023-08-01,2024-03-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,2500000.0,2023.0,2023-08,243.0,False,False,False,1M - 10M
21335.53-99,REFORMA DO CENTRO DE MÚLTIPLAS FUNÇÕES DO CAMPUS SÃO SEBASTIÃO,CADASTRADA,2023-12-01,2024-07-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,1000000.0,2023.0,2023-12,243.0,False,False,False,1M - 10M
21339.53-04,SUBSTITUIÇÃO DO SISTEMA DE IMPERMEABILIZAÇÃO NAS EDIFICAÇÕES DO CAMPUS BRASÍLIA,CADASTRADA,2023-07-01,2023-12-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,1000000.0,2023.0,2023-07,183.0,False,False,False,1M - 10M
21341.53-30,SUBSTITUIÇÃO DO SISTEMA DE IMPERMEABILIZAÇÃO NAS EDIFICAÇÕES DO CAMPUS GAMA,CADASTRADA,2023-07-01,2023-12-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,1000000.0,2023.0,2023-07,183.0,False,False,False,1M - 10M
21342.53-97,SUBSTITUIÇÃO DO SISTEMA DE IMPERMEABILIZAÇÃO NAS EDIFICAÇÕES DO CAMPUS SAMAMBAIA,CADASTRADA,2023-07-01,2023-12-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,1000000.0,2023.0,2023-07,183.0,False,False,False,1M - 10M
21345.53-56,SUBSTITUIÇÃO DO SISTEMA DE IMPERMEABILIZAÇÃO NAS EDIFICAÇÕES DO CAMPUS TAGUATINGA,CADASTRADA,2023-07-01,2023-12-31,,,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,FEDERAL,EDUCAÇÃO,1000000.0,2023.0,2023-07,183.0,False,False,False,1M - 10M
8913.53-40,REFORMA HIDRÁULICA DA PSICINA,EM EXECUÇÃO,2022-10-10,2022-11-04,,,2022-10-03,COMANDO DA MARINHA,FEDERAL,ESPORTE,17500.0,2022.0,2022-10,25.0,False,False,True,< 100K
2729.53-94,AMPLIAÇÃO E REFORMA DO HOSPITAL NAVAL DE BRASÍLIA,CONCLUÍDA,2020-01-20,2023-03-31,,,2021-06-22,COMANDO DA MARINHA,FEDERAL,SAÚDE,27792850.24,2020.0,2020-01,1166.0,True,False,False,> 10M
19176.53-10,CAMINHO DAS ESCOLAS - PONTE ALTA (GAMA),CADASTRADA,2022-12-30,2026-12-30,,,2023-01-10,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL,FEDERAL,INFRAESTRUTURA URBANA E MOBILIDADE,2870210.0,2022.0,2022-12,1461.0,False,False,False,1M - 10M
4539.53-84,202111-22-RONALD 1,CADASTRADA,2021-12-10,2021-12-10,,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,FEDERAL,DESENVOLVIMENTO,100000000.0,2021.0,2021-12,0.0,False,False,False,> 10M
20285.53-58,SUBSTITUIÇÃO PARCIAL DOS BRISES DO COLÉGIO MILITAR DE BRASÍLIA EM BRASÍLIA-DF,INATIVADA,2023-03-02,2024-03-01,,,2023-03-01,COMANDO DO EXÉRCITO,FEDERAL,ADMINISTRATIVO,769000.0,2023.0,2023-03,365.0,False,False,False,100K - 1M
44078.53-10,CPAC - ELABORAÇÃO DE PROJETOS  PARA AS INSTALAÇÕES DE RECEPÇÃO E PREPARAÇÃO DE AMOSTRAS,CONCLUÍDA,2024-11-01,2025-05-26,,,2024-10-21,EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA,FEDERAL,ADMINISTRATIVO,49973.53,2024.0,2024-11,206.0,True,False,False,< 100K
5584.53-19,"ADEQUAÇÃO DA DCEM, 3º PISO, BLOCO D, QGEX DO SETOR MILITAR URBANO, NA CIDADE DE BRASÍLIA/DF",CONCLUÍDA,2022-02-14,2023-11-06,,,2022-02-01,COMANDO DO EXÉRCITO,FEDERAL,ADMINISTRATIVO,8691308.0,2022.0,2022-02,630.0,True,False,False,1M - 10M
51946.53-11,CONSTRUÇÃO DO 2º BATALHÃO DE POLÍCIA MILITAR DO DISTRITO FEDERAL,CADASTRADA,2025-03-12,2025-12-31,,,2025-03-12,POLÍCIA MILITAR DO DISTRITO FEDERAL,FEDERAL,SEGURANÇA PÚBLICA,51767.99,2025.0,2025-03,294.0,False,False,False,< 100K
10835.53-80,CONSTRUÇÃO DA POLICLINICA DA PCDF,CADASTRADA,2022-12-19,2027-12-16,,,2022-10-20,POLICIA CIVIL DO DISTRITO FEDERAL,FEDERAL,SEGURANÇA PÚBLICA,39717442.17,2022.0,2022-12,1823.0,False,False,False,> 10M
228.53-10,REFORMA UOP PLANALTINA,INATIVADA,2021-03-15,2021-04-15,,,2021-02-23,SUPERINTENDENCIA DA POLICIA RODOVIÁRIA FEDERAL NO DISTRITO FEDERAL,FEDERAL,SEGURANÇA PÚBLICA,93543.62,2021.0,2021-03,31.0,False,False,False,< 100K
440.53-82,CONSTRUÇÃO DE NOVA SEDE DO INSTITUTO MÉDICO LEGAL,CADASTRADA,2021-03-31,2022-06-30,,,2021-03-19,POLICIA CIVIL DO DISTRITO FEDERAL,FEDERAL,SEGURANÇA PÚBLICA,1.0,2021.0,2021-03,456.0,False,False,False,< 100K
